Unit,Block,SampleNo.,SampleName,AMFIsolate,ColonizationRegion,HarvestTime,Treatment,InoculationTreatment,InoculationTiming,ConcentrationPeruL.1.10,CopiesPer20uLWell,ConcentrationPeruL,ConcentrationPerGSample,AcceptedDroplets
62,4,62-R,Cuba8-pre-inoc-1-2mos-4-R,Cuba8,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,1.6,32,16,56000,18121
62,4,62-S,Cuba8-pre-inoc-1-2mos-4-S,Cuba8,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,6.4,128,64,224000,19395
89,5,89-R,Cuba8-pre-inoc-1-2mos-5-R,Cuba8,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,2.5,50,25,87500,15746
89,5,89-S,Cuba8-pre-inoc-1-2mos-5-S,Cuba8,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0.57,11.4,5.7,19950,16426
117,6,117-R,Cuba8-pre-inoc-1-2mos-6-R,Cuba8,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,5.3,106,53,185500,16105
117,6,117-S,Cuba8-pre-inoc-1-2mos-6-S,Cuba8,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,1.1,22,11,38500,17050
132,7,132-R,Cuba8-pre-inoc-1-2mos-7-R,Cuba8,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0.73,14.6,7.3,25550,14493
132,7,132-S,Cuba8-pre-inoc-1-2mos-7-S,Cuba8,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,1,20,10,35000,17734
1,1,1-R,Cuba8-pre-inoc-1-4mos-1-R,Cuba8,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,2.8,56,28,98000,12045
1,1,1-S,Cuba8-pre-inoc-1-4mos-1-S,Cuba8,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,6.8,136,68,238000,18751
33,2,33-R,Cuba8-pre-inoc-1-4mos-2-R,Cuba8,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,2.5,50,25,87500,15562
33,2,33-S,Cuba8-pre-inoc-1-4mos-2-S,Cuba8,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,8,160,80,280000,17489
48,3,48-R,Cuba8-pre-inoc-1-4mos-3-R,Cuba8,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,3.3,66,33,115500,20524
48,3,48-S,Cuba8-pre-inoc-1-4mos-3-S,Cuba8,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,8.3,166,83,290500,11840
68,4,68-R,Cuba8-pre-inoc-1-4mos-4-R,Cuba8,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,2.2,44,22,77000,18178
68,4,68-S,Cuba8-pre-inoc-1-4mos-4-S,Cuba8,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,6.1,122,61,213500,18425
95,5,95-R,Cuba8-pre-inoc-1-4mos-5-R,Cuba8,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,5,100,50,175000,16766
95,5,95-S,Cuba8-pre-inoc-1-4mos-5-S,Cuba8,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,1.5,30,15,52500,15978
103,6,103-R,Cuba8-pre-inoc-1-4mos-6-R,Cuba8,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,17.6,352,176,616000,18421
103,6,103-S,Cuba8-pre-inoc-1-4mos-6-S,Cuba8,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,2.2,44,22,77000,17917
123,7,123-R,Cuba8-pre-inoc-1-4mos-7-R,Cuba8,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0.58,11.6,5.8,20300,18176
123,7,123-S,Cuba8-pre-inoc-1-4mos-7-S,Cuba8,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0.71,14.2,7.1,24850,14940
9,1,9-R,Cuba8-pre-inoc-2-2mos-1-R,Cuba8,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,1.6,32,16,56000,20888
9,1,9-S,Cuba8-pre-inoc-2-2mos-1-S,Cuba8,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,5.8,116,58,203000,17179
23,2,23-R,Cuba8-pre-inoc-2-2mos-2-R,Cuba8,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,1.7,34,17,59500,17425
23,2,23-S,Cuba8-pre-inoc-2-2mos-2-S,Cuba8,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,7.1,142,71,248500,15341
52,3,52-R,Cuba8-pre-inoc-2-2mos-3-R,Cuba8,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,2.7,54,27,94500,16214
52,3,52-S,Cuba8-pre-inoc-2-2mos-3-S,Cuba8,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,0.79,15.8,7.9,27650,14934
71,4,71-R,Cuba8-pre-inoc-2-2mos-4-R,Cuba8,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,0.93,18.6,9.3,32550,19076
71,4,71-S,Cuba8-pre-inoc-2-2mos-4-S,Cuba8,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,6.5,130,65,227500,16768
96,5,96-R,Cuba8-pre-inoc-2-2mos-5-R,Cuba8,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,0.81,16.2,8.1,28350,15945
96,5,96-S,Cuba8-pre-inoc-2-2mos-5-S,Cuba8,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,1.5,30,15,52500,15277
116,6,116-R,Cuba8-pre-inoc-2-2mos-6-R,Cuba8,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,0.95,19,9.5,33250,18651
116,6,116-S,Cuba8-pre-inoc-2-2mos-6-S,Cuba8,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,1.7,34,17,59500,11863
127,7,127-R,Cuba8-pre-inoc-2-2mos-7-R,Cuba8,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,1.7,34,17,59500,16232
127,7,127-S,Cuba8-pre-inoc-2-2mos-7-S,Cuba8,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,0.78,15.6,7.8,27300,15127
19,1,19-R,Cuba8-pre-inoc-2-4mos-1-R,Cuba8,Roots,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,1.4,28,14,49000,17420
19,1,19-S,Cuba8-pre-inoc-2-4mos-1-S,Cuba8,Soil,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,7.6,152,76,266000,17637
32,2,32-R,Cuba8-pre-inoc-2-4mos-2-R,Cuba8,Roots,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,0.5,10,5,17500,14112
32,2,32-S,Cuba8-pre-inoc-2-4mos-2-S,Cuba8,Soil,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,6.6,132,66,231000,18697
50,3,50-R,Cuba8-pre-inoc-2-4mos-3-R,Cuba8,Roots,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,2.7,54,27,94500,14382
50,3,50-S,Cuba8-pre-inoc-2-4mos-3-S,Cuba8,Soil,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,0.59,11.8,5.9,20650,15926
74,4,74-R,Cuba8-pre-inoc-2-4mos-4-R,Cuba8,Roots,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,0.78,15.6,7.8,27300,16552
74,4,74-S,Cuba8-pre-inoc-2-4mos-4-S,Cuba8,Soil,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,6.5,130,65,227500,16950
83,5,83-R,Cuba8-pre-inoc-2-4mos-5-R,Cuba8,Roots,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,0.83,16.6,8.3,29050,18506
83,5,83-S,Cuba8-pre-inoc-2-4mos-5-S,Cuba8,Soil,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,0.69,13.8,6.9,24150,13674
109,6,109-R,Cuba8-pre-inoc-2-4mos-6-R,Cuba8,Roots,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,0.77,15.4,7.7,26950,18228
109,6,109-S,Cuba8-pre-inoc-2-4mos-6-S,Cuba8,Soil,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,1.3,26,13,45500,11263
138,7,138-R,Cuba8-pre-inoc-2-4mos-7-R,Cuba8,Roots,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,4,80,40,140000,17059
138,7,138-S,Cuba8-pre-inoc-2-4mos-7-S,Cuba8,Soil,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,1.9,38,19,66500,15304
11,1,11-R,DAOM197198-co-inoc-2mos-1-R,DAOM197198,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.08,1.6,0.8,2800,15144
11,1,11-S,DAOM197198-co-inoc-2mos-1-S,DAOM197198,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,0,0,0,0,15473
21,2,21-R,DAOM197198-co-inoc-2mos-2-R,DAOM197198,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,1.8,36,18,63000,16531
21,2,21-S,DAOM197198-co-inoc-2mos-2-S,DAOM197198,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,0,0,0,0,14952
51,3,51-R,DAOM197198-co-inoc-2mos-3-R,DAOM197198,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.2,4,2,7000,11690
51,3,51-S,DAOM197198-co-inoc-2mos-3-S,DAOM197198,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.08,1.6,0.8,2800,14029
67,4,67-R,DAOM197198-co-inoc-2mos-4-R,DAOM197198,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.12,2.4,1.2,4200,19828
67,4,67-S,DAOM197198-co-inoc-2mos-4-S,DAOM197198,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.06,1.2,0.6,2100,18149
100,5,100-R,DAOM197198-co-inoc-2mos-5-R,DAOM197198,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.15,3,1.5,5250,15631
100,5,100-S,DAOM197198-co-inoc-2mos-5-S,DAOM197198,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,1,20,10,35000,11577
113,6,113-R,DAOM197198-co-inoc-2mos-6-R,DAOM197198,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.08,1.6,0.8,2800,15132
113,6,113-S,DAOM197198-co-inoc-2mos-6-S,DAOM197198,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,0,0,0,0,16177
136,7,136-R,DAOM197198-co-inoc-2mos-7-R,DAOM197198,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.1,2,1,3500,12160
136,7,136-S,DAOM197198-co-inoc-2mos-7-S,DAOM197198,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.13,2.6,1.3,4550,18508
4,1,4-R,DAOM197198-co-inoc-4mos-1-R,DAOM197198,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.12,2.4,1.2,4200,19078
4,1,4-S,DAOM197198-co-inoc-4mos-1-S,DAOM197198,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.1,2,1,3500,11302
36,2,36-R,DAOM197198-co-inoc-4mos-2-R,DAOM197198,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,0,0,0,0,14366
36,2,36-S,DAOM197198-co-inoc-4mos-2-S,DAOM197198,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.07,1.4,0.7,2450,17140
54,3,54-R,DAOM197198-co-inoc-4mos-3-R,DAOM197198,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.8,16,8,28000,12518
54,3,54-S,DAOM197198-co-inoc-4mos-3-S,DAOM197198,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,0,0,0,0,16439
72,4,72-R,DAOM197198-co-inoc-4mos-4-R,DAOM197198,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.7,14,7,24500,12490
72,4,72-S,DAOM197198-co-inoc-4mos-4-S,DAOM197198,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,0,0,0,0,17468
99,5,99-R,DAOM197198-co-inoc-4mos-5-R,DAOM197198,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,0,0,0,0,16558
99,5,99-S,DAOM197198-co-inoc-4mos-5-S,DAOM197198,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,0,0,0,0,16180
114,6,114-R,DAOM197198-co-inoc-4mos-6-R,DAOM197198,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.23,4.6,2.3,8050,15520
114,6,114-S,DAOM197198-co-inoc-4mos-6-S,DAOM197198,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,0,0,0,0,13522
122,7,122-R,DAOM197198-co-inoc-4mos-7-R,DAOM197198,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.25,5,2.5,8750,14275
122,7,122-S,DAOM197198-co-inoc-4mos-7-S,DAOM197198,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.15,3,1.5,5250,16162
10,1,10-R,DAOM197198-pre-inoc-1-2mos-1-R,DAOM197198,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,22.6,452,226,791000,15952
10,1,10-S,DAOM197198-pre-inoc-1-2mos-1-S,DAOM197198,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,8.1,162,81,283500,10938
38,2,38-R,DAOM197198-pre-inoc-1-2mos-2-R,DAOM197198,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,45,900,450,1575000,16219
38,2,38-S,DAOM197198-pre-inoc-1-2mos-2-S,DAOM197198,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0.07,1.4,0.7,2450,16770
41,3,41-R,DAOM197198-pre-inoc-1-2mos-3-R,DAOM197198,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,5.7,114,57,199500,15852
41,3,41-S,DAOM197198-pre-inoc-1-2mos-3-S,DAOM197198,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,22.4,448,224,784000,18072
61,4,61-R,DAOM197198-pre-inoc-1-2mos-4-R,DAOM197198,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,1.2,24,12,42000,11176
61,4,61-S,DAOM197198-pre-inoc-1-2mos-4-S,DAOM197198,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0,0,0,0,11839
86,5,86-R,DAOM197198-pre-inoc-1-2mos-5-R,DAOM197198,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,2.5,50,25,87500,11667
86,5,86-S,DAOM197198-pre-inoc-1-2mos-5-S,DAOM197198,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0.06,1.2,0.6,2100,18931
102,6,102-R,DAOM197198-pre-inoc-1-2mos-6-R,DAOM197198,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,17.7,354,177,619500,14082
102,6,102-S,DAOM197198-pre-inoc-1-2mos-6-S,DAOM197198,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0,0,0,0,11577
135,7,135-R,DAOM197198-pre-inoc-1-2mos-7-R,DAOM197198,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0.52,10.4,5.2,18200,11238
135,7,135-S,DAOM197198-pre-inoc-1-2mos-7-S,DAOM197198,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0,0,0,0,19479
2,1,2-R,DAOM197198-pre-inoc-1-4mos-1-R,DAOM197198,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0.06,1.2,0.6,2100,18396
2,1,2-S,DAOM197198-pre-inoc-1-4mos-1-S,DAOM197198,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0.32,6.4,3.2,11200,11031
37,2,37-R,DAOM197198-pre-inoc-1-4mos-2-R,DAOM197198,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0,0,0,0,15045
37,2,37-S,DAOM197198-pre-inoc-1-4mos-2-S,DAOM197198,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,11.2,224,112,392000,15481
45,3,45-R,DAOM197198-pre-inoc-1-4mos-3-R,DAOM197198,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,1.9,38,19,66500,11613
45,3,45-S,DAOM197198-pre-inoc-1-4mos-3-S,DAOM197198,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0.07,1.4,0.7,2450,17082
64,4,64-R,DAOM197198-pre-inoc-1-4mos-4-R,DAOM197198,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,1.6,32,16,56000,10120
64,4,64-S,DAOM197198-pre-inoc-1-4mos-4-S,DAOM197198,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0.09,1.8,0.9,3150,12935
93,5,93-R,DAOM197198-pre-inoc-1-4mos-5-R,DAOM197198,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0.67,13.4,6.7,23450,14058
93,5,93-S,DAOM197198-pre-inoc-1-4mos-5-S,DAOM197198,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,2,40,20,70000,15702
108,6,108-R,DAOM197198-pre-inoc-1-4mos-6-R,DAOM197198,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,5.3,106,53,185500,15916
108,6,108-S,DAOM197198-pre-inoc-1-4mos-6-S,DAOM197198,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0,0,0,0,15482
128,7,128-R,DAOM197198-pre-inoc-1-4mos-7-R,DAOM197198,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0.67,13.4,6.7,23450,15882
128,7,128-S,DAOM197198-pre-inoc-1-4mos-7-S,DAOM197198,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0.06,1.2,0.6,2100,18295
18,1,18-R,DAOM197198-pre-inoc-2-2mos-1-R,DAOM197198,Roots,2,Pre-inoculation-1,pre-colonized roots + AMF,combination,6.6,132,66,231000,16508
18,1,18-S,DAOM197198-pre-inoc-2-2mos-1-S,DAOM197198,Soil,2,Pre-inoculation-1,pre-colonized roots + AMF,combination,0.38,7.6,3.8,13300,15654
30,2,30-R,DAOM197198-pre-inoc-2-2mos-2-R,DAOM197198,Roots,2,Pre-inoculation-1,pre-colonized roots + AMF,combination,126,2520,1260,4410000,15122
30,2,30-S,DAOM197198-pre-inoc-2-2mos-2-S,DAOM197198,Soil,2,Pre-inoculation-1,pre-colonized roots + AMF,combination,2.3,46,23,80500,14165
55,3,55-R,DAOM197198-pre-inoc-2-2mos-3-R,DAOM197198,Roots,2,Pre-inoculation-1,pre-colonized roots + AMF,combination,0.8,16,8,28000,15808
55,3,55-S,DAOM197198-pre-inoc-2-2mos-3-S,DAOM197198,Soil,2,Pre-inoculation-1,pre-colonized roots + AMF,combination,0.43,8.6,4.3,15050,16495
66,4,66-R,DAOM197198-pre-inoc-2-2mos-4-R,DAOM197198,Roots,2,Pre-inoculation-1,pre-colonized roots + AMF,combination,0.34,6.8,3.4,11900,10359
66,4,66-S,DAOM197198-pre-inoc-2-2mos-4-S,DAOM197198,Soil,2,Pre-inoculation-1,pre-colonized roots + AMF,combination,0,0,0,0,18576
94,5,94-R,DAOM197198-pre-inoc-2-2mos-5-R,DAOM197198,Roots,2,Pre-inoculation-1,pre-colonized roots + AMF,combination,0.66,13.2,6.6,23100,14170
94,5,94-S,DAOM197198-pre-inoc-2-2mos-5-S,DAOM197198,Soil,2,Pre-inoculation-1,pre-colonized roots + AMF,combination,0.29,5.8,2.9,10150,16261
119,6,119-R,DAOM197198-pre-inoc-2-2mos-6-R,DAOM197198,Roots,2,Pre-inoculation-1,pre-colonized roots + AMF,combination,35,700,350,1225000,15106
119,6,119-S,DAOM197198-pre-inoc-2-2mos-6-S,DAOM197198,Soil,2,Pre-inoculation-1,pre-colonized roots + AMF,combination,0,0,0,0,16961
131,7,131-R,DAOM197198-pre-inoc-2-2mos-7-R,DAOM197198,Roots,2,Pre-inoculation-1,pre-colonized roots + AMF,combination,0.67,13.4,6.7,23450,14118
131,7,131-S,DAOM197198-pre-inoc-2-2mos-7-S,DAOM197198,Soil,2,Pre-inoculation-1,pre-colonized roots + AMF,combination,0,0,0,0,19418
12,1,12-R,DAOM197198-pre-inoc-2-4mos-1-R,DAOM197198,Roots,4,Pre-inoculation-1,pre-colonized roots + AMF,combination,2.6,52,26,91000,16915
12,1,12-S,DAOM197198-pre-inoc-2-4mos-1-S,DAOM197198,Soil,4,Pre-inoculation-1,pre-colonized roots + AMF,combination,0.14,2.8,1.4,4900,16751
34,2,34-R,DAOM197198-pre-inoc-2-4mos-2-R,DAOM197198,Roots,4,Pre-inoculation-1,pre-colonized roots + AMF,combination,0.08,1.6,0.8,2800,15293
34,2,34-S,DAOM197198-pre-inoc-2-4mos-2-S,DAOM197198,Soil,4,Pre-inoculation-1,pre-colonized roots + AMF,combination,0.27,5.4,2.7,9450,17441
43,3,43-R,DAOM197198-pre-inoc-2-4mos-3-R,DAOM197198,Roots,4,Pre-inoculation-1,pre-colonized roots + AMF,combination,0.9,18,9,31500,10563
43,3,43-S,DAOM197198-pre-inoc-2-4mos-3-S,DAOM197198,Soil,4,Pre-inoculation-1,pre-colonized roots + AMF,combination,11.5,230,115,402500,17939
73,4,73-R,DAOM197198-pre-inoc-2-4mos-4-R,DAOM197198,Roots,4,Pre-inoculation-1,pre-colonized roots + AMF,combination,8.8,176,88,308000,13012
73,4,73-S,DAOM197198-pre-inoc-2-4mos-4-S,DAOM197198,Soil,4,Pre-inoculation-1,pre-colonized roots + AMF,combination,0.07,1.4,0.7,2450,17689
81,5,81-R,DAOM197198-pre-inoc-2-4mos-5-R,DAOM197198,Roots,4,Pre-inoculation-1,pre-colonized roots + AMF,combination,0.09,1.8,0.9,3150,12925
81,5,81-S,DAOM197198-pre-inoc-2-4mos-5-S,DAOM197198,Soil,4,Pre-inoculation-1,pre-colonized roots + AMF,combination,0.07,1.4,0.7,2450,17544
120,6,120-R,DAOM197198-pre-inoc-2-4mos-6-R,DAOM197198,Roots,4,Pre-inoculation-1,pre-colonized roots + AMF,combination,0.08,1.6,0.8,2800,15075
120,6,120-S,DAOM197198-pre-inoc-2-4mos-6-S,DAOM197198,Soil,4,Pre-inoculation-1,pre-colonized roots + AMF,combination,0.12,2.4,1.2,4200,18944
137,7,137-R,DAOM197198-pre-inoc-2-4mos-7-R,DAOM197198,Roots,4,Pre-inoculation-1,pre-colonized roots + AMF,combination,3.2,64,32,112000,11406
137,7,137-S,DAOM197198-pre-inoc-2-4mos-7-S,DAOM197198,Soil,4,Pre-inoculation-1,pre-colonized roots + AMF,combination,0,0,0,0,17877
